date_year,rha,disp_media_per_capita,rha_id,rha_nom,estres_hidrico
1998-06-30,I. Península de Baja California,1438,I,Península de Baja California,Estres
1998-06-30,II. Noroeste,3436,II,Noroeste,No estres
1998-06-30,III. Pacífico Norte,5840,III,Pacífico Norte,No estres
1998-06-30,IV. Balsas,2903,IV,Balsas,No estres
1998-06-30,V. Pacífico Sur,10056,V,Pacífico Sur,No estres
1998-06-30,VI. Río Bravo,1327,VI,Río Bravo,Estres
1998-06-30,VII. Cuencas Centrales del Norte,994,VII,Cuencas Centrales del Norte,Estres
1998-06-30,VIII. Lerma-Santiago-Pacífico,1902,VIII,Lerma-Santiago-Pacífico,Estres
1998-06-30,IX. Golfo Norte,5062,IX,Golfo Norte,No estres
1998-06-30,X. Golfo Centro,11077,X,Golfo Centro,No estres
1998-06-30,XI. Frontera Sur,28453,XI,Frontera Sur,No estres
1998-06-30,XII. Península de Yucatán,10872,XII,Península de Yucatán,No estres
1998-06-30,XIII. Aguas del Valle de México,227,XIII,Aguas del Valle de México,Estres
1999-06-30,I. Península de Baja California,1434,I,Península de Baja California,Estres
1999-06-30,II. Noroeste,3415,II,Noroeste,No estres
1999-06-30,III. Pacífico Norte,6570,III,Pacífico Norte,No estres
1999-06-30,IV. Balsas,2835,IV,Balsas,No estres
1999-06-30,V. Pacífico Sur,9294,V,Pacífico Sur,No estres
1999-06-30,VI. Río Bravo,1316,VI,Río Bravo,Estres
1999-06-30,VII. Cuencas Centrales del Norte,1470,VII,Cuencas Centrales del Norte,Estres
1999-06-30,VIII. Lerma-Santiago-Pacífico,1879,VIII,Lerma-Santiago-Pacífico,Estres
1999-06-30,IX. Golfo Norte,4866,IX,Golfo Norte,No estres
1999-06-30,X. Golfo Centro,11834,X,Golfo Centro,No estres
1999-06-30,XI. Frontera Sur,27152,XI,Frontera Sur,No estres
1999-06-30,XII. Península de Yucatán,10912,XII,Península de Yucatán,No estres
1999-06-30,XIII. Aguas del Valle de México,171,XIII,Aguas del Valle de México,Estres
2001-06-30,I. Península de Baja California,1610,I,Península de Baja California,Estres
2001-06-30,II. Noroeste,3398,II,Noroeste,No estres
2001-06-30,III. Pacífico Norte,6311,III,Pacífico Norte,No estres
2001-06-30,IV. Balsas,2844,IV,Balsas,No estres
2001-06-30,V. Pacífico Sur,8334,V,Pacífico Sur,No estres
2001-06-30,VI. Río Bravo,1512,VI,Río Bravo,Estres
2001-06-30,VII. Cuencas Centrales del Norte,1791,VII,Cuencas Centrales del Norte,Estres
2001-06-30,VIII. Lerma-Santiago-Pacífico,2084,VIII,Lerma-Santiago-Pacífico,Estres
2001-06-30,IX. Golfo Norte,5123,IX,Golfo Norte,No estres
2001-06-30,X. Golfo Centro,11136,X,Golfo Centro,No estres
2001-06-30,XI. Frontera Sur,26791,XI,Frontera Sur,No estres
2001-06-30,XII. Península de Yucatán,8146,XII,Península de Yucatán,No estres
2001-06-30,XIII. Aguas del Valle de México,196,XIII,Aguas del Valle de México,Estres
2002-06-30,I. Península de Baja California,1445,I,Península de Baja California,Estres
2002-06-30,II. Noroeste,3333,II,Noroeste,No estres
2002-06-30,III. Pacífico Norte,6298,III,Pacífico Norte,No estres
2002-06-30,IV. Balsas,2818,IV,Balsas,No estres
2002-06-30,V. Pacífico Sur,8235,V,Pacífico Sur,No estres
2002-06-30,VI. Río Bravo,1467,VI,Río Bravo,Estres
2002-06-30,VII. Cuencas Centrales del Norte,1783,VII,Cuencas Centrales del Norte,Estres
2002-06-30,VIII. Lerma-Santiago-Pacífico,1895,VIII,Lerma-Santiago-Pacífico,Estres
2002-06-30,IX. Golfo Norte,4935,IX,Golfo Norte,No estres
2002-06-30,X. Golfo Centro,11025,X,Golfo Centro,No estres
2002-06-30,XI. Frontera Sur,25843,XI,Frontera Sur,No estres
